Model,RMSE,MAE,R2,Adjusted_R2
XGBoost Tuned,1.10326313180223,0.8391472997162335,0.8206929606414467,0.820240807350708
XGBoost,1.1047399500965058,0.8439214050899471,0.8202126017126079,0.8197592371148776
LightGBM,1.1086699878041089,0.8422531857288472,0.8189311634079616,0.8184745674449241
LightGBM Tuned,1.108961616958922,0.8438293366489431,0.8188358926829016,0.8183790564784771
Random Forest Tuned,1.119008656902611,0.8495037803625693,0.815538378669581,0.8150732272209936
Random Forest,1.1246781116012834,0.8532115091166298,0.8136644949193104,0.8131946181531494
Linear Regression,1.262613285562717,0.9524244373459371,0.7651558001850411,0.7645636004691957
