Variable,Importance
Never_Worked_Rate,1560
Level4Plus_Qualification_Rate,1377
Black_Rate,1331
Income_Deprivation_Score,1324
Housing_Services_Deprivation_Score,1317
Social_Rented_Rate,1304
No_Car_Van_Rate,1251
Migrant_Within_UK_Rate,1203
Working_Age_Rate,1203
Disability_Rate,1192
Student_Rate,1161
Asian_Rate,1160
Crime_Deprivation_Score,1133
Population_per_km2,1059
Migrant_Outside_UK_Rate,1021
Living_Environment_Deprivation_Score,1004
