Never_Worked_Rate,Income_Deprivation_Score,Crime_Deprivation_Score,Housing_Services_Deprivation_Score,Living_Environment_Deprivation_Score,Level4Plus_Qualification_Rate,Disability_Rate,Social_Rented_Rate,No_Car_Van_Rate,Working_Age_Rate,Migrant_Within_UK_Rate,Migrant_Outside_UK_Rate,Asian_Rate,Black_Rate,Student_Rate,Population_per_km2,Unemployment_Rate
2.675182597476593,0.2287279296081104,0.486,10.039,3.442,18.8282,22.3828,3.3395559931135734,3.4865153812527914,58.3187,1.9251679376310384,0.1249572394043838,0.6053536796092764,0.0,1.7927090182636432,8.60041238716698,6.8089
2.4844732225386457,0.0880108773227133,-0.294,6.607,3.284,22.7826,19.2852,1.5391441952141007,2.7346272159526626,50.928,1.8085018632276406,0.0,0.3688702776386094,0.0,1.233347123532114,7.266617828366282,5.8621
2.0849016083491967,0.04879016416943201,-0.53,22.308,2.767,30.6297,19.0075,0.8051803842357218,2.38847834511498,55.6285,2.1135893130409626,0.0,0.503317508275669,0.0,1.2412396869178657,7.977590792878828,2.4668
1.7280383916702022,0.04210117601863539,-0.856,23.165,1.192,33.0258,13.6054,1.0713781157143405,1.8835635097030923,64.4209,1.7949211325656338,0.07325046173959267,0.32056060101772044,0.0,1.7420613930312026,8.707879664541819,2.4
1.8193422103137826,0.05638033343610764,-0.133,22.33,1.53,34.587,13.1458,1.698455608751753,2.14798764671485,60.7472,2.2187577325486387,0.05021771616061742,0.47877752579709687,0.09748962127725708,1.990227741135006,8.369365810661453,2.9183
2.34280530648041,0.178146185383474,0.166,24.525,1.192,33.409,18.8163,3.203863704747697,3.2457786760076255,57.3698,2.3039341825633413,0.1650058345842667,0.5601299414501341,0.08461684571987893,1.5211529975665288,8.616676469901188,2.0591
3.1435702127530356,0.26620304077465673,0.391,12.809,1.377,15.1929,30.3811,3.8539043660132624,3.7636459593871185,52.9632,2.191038818249133,0.11876033572084281,0.5585294838350011,0.06043636880383069,1.6304750714999001,8.14882153544518,8.229
3.16883227553966,0.32497785719547784,1.136,12.026,4.097,14.3245,28.3316,4.03117221855008,3.8567639631101214,54.6796,2.4035067715750174,0.18764071827155457,0.7020078089921419,0.47666886711449646,1.7945721765222453,7.699072183314326,13.3536
2.626832914992536,0.18481843699254183,0.213,7.111,9.527,28.2673,24.6296,3.1816764274790934,3.4071032410254127,57.2397,1.9316083643444537,0.2218627314144873,0.588342066193819,0.11618175428940962,1.3515476247900557,8.491198231139151,6.7432
2.807551585525003,0.34217025773585064,1.515,13.731,9.947,23.7997,22.4274,3.5383995288161403,3.462756468690727,61.4451,2.3939967744281576,0.19400306156779254,0.9688831819933257,1.1513312330003387,1.7586162506348009,7.2554500213400885,7.7016
