LSOA_Code,RUC21CD,RUC21NM,Urban_rural_flag
E01000176,UN1,Urban: Nearer to a major town or city,Urban
E01000177,UN1,Urban: Nearer to a major town or city,Urban
E01000178,UN1,Urban: Nearer to a major town or city,Urban
E01000179,UN1,Urban: Nearer to a major town or city,Urban
E01000180,UN1,Urban: Nearer to a major town or city,Urban
E01000181,UN1,Urban: Nearer to a major town or city,Urban
E01000182,UN1,Urban: Nearer to a major town or city,Urban
E01000183,UN1,Urban: Nearer to a major town or city,Urban
E01000184,UN1,Urban: Nearer to a major town or city,Urban
E01000185,UN1,Urban: Nearer to a major town or city,Urban
E01000186,UN1,Urban: Nearer to a major town or city,Urban
E01000187,UN1,Urban: Nearer to a major town or city,Urban
E01000188,UN1,Urban: Nearer to a major town or city,Urban
E01000189,UN1,Urban: Nearer to a major town or city,Urban
E01000190,UN1,Urban: Nearer to a major town or city,Urban
E01000191,UN1,Urban: Nearer to a major town or city,Urban
E01000192,UN1,Urban: Nearer to a major town or city,Urban
E01000193,UN1,Urban: Nearer to a major town or city,Urban
E01000194,UN1,Urban: Nearer to a major town or city,Urban
E01000195,UN1,Urban: Nearer to a major town or city,Urban
E01000196,UN1,Urban: Nearer to a major town or city,Urban
E01000197,UN1,Urban: Nearer to a major town or city,Urban
E01000198,UN1,Urban: Nearer to a major town or city,Urban
E01000199,UN1,Urban: Nearer to a major town or city,Urban
E01000200,UN1,Urban: Nearer to a major town or city,Urban
E01000201,UN1,Urban: Nearer to a major town or city,Urban
E01000202,UN1,Urban: Nearer to a major town or city,Urban
E01000203,UN1,Urban: Nearer to a major town or city,Urban
E01000204,UN1,Urban: Nearer to a major town or city,Urban
E01000205,UN1,Urban: Nearer to a major town or city,Urban
E01000206,UN1,Urban: Nearer to a major town or city,Urban
E01000207,UN1,Urban: Nearer to a major town or city,Urban
E01000208,UN1,Urban: Nearer to a major town or city,Urban
E01000209,UN1,Urban: Nearer to a major town or city,Urban
E01000210,UN1,Urban: Nearer to a major town or city,Urban
E01000211,UN1,Urban: Nearer to a major town or city,Urban
E01000212,UN1,Urban: Nearer to a major town or city,Urban
E01000057,UN1,Urban: Nearer to a major town or city,Urban
E01000058,UN1,Urban: Nearer to a major town or city,Urban
E01000059,UN1,Urban: Nearer to a major town or city,Urban
E01000060,UN1,Urban: Nearer to a major town or city,Urban
E01000061,UN1,Urban: Nearer to a major town or city,Urban
E01000062,UN1,Urban: Nearer to a major town or city,Urban
E01000063,UN1,Urban: Nearer to a major town or city,Urban
E01000064,UN1,Urban: Nearer to a major town or city,Urban
E01000065,UN1,Urban: Nearer to a major town or city,Urban
E01000066,UN1,Urban: Nearer to a major town or city,Urban
E01000067,UN1,Urban: Nearer to a major town or city,Urban
E01000068,UN1,Urban: Nearer to a major town or city,Urban
E01000069,UN1,Urban: Nearer to a major town or city,Urban
E01000070,UN1,Urban: Nearer to a major town or city,Urban
E01000071,UN1,Urban: Nearer to a major town or city,Urban
E01000072,UN1,Urban: Nearer to a major town or city,Urban
